193.6925354,214.600341797,33.8738708496,85.8473510742
194.064804077,212.647384644,33.4993743896,93.9979400635
192.840423584,209.599700928,33.955871582,103.999542236
187.996078491,210.174087524,34.9595947266,105.498031616
195.238952637,210.361022949,33.2844543457,102.419799805
192.968460083,212.665267944,33.5708618164,98.09034729
192.006530762,220.510574341,33.6033325195,92.2458343506
187.675750732,222.592941284,32.2140808105,88.8395233154
182.249481201,223.072662354,32.2140808105,88.8395385742
189.588195801,236.745300293,31.0652618408,90.69921875
189.026016235,231.53086853,31.5099334717,92.9461212158
189.422729492,231.607131958,32.1940612793,100.03288269
189.173126221,231.640289307,33.7704772949,104.849884033
